city,space,attack type,recalculated,area
lviv,l,random,FALSE,0.244
lviv,l,degrees,FALSE,0.083
lviv,l,degrees,TRUE,0.081
lviv,l,betweenness,FALSE,0.163
lviv,l,betweenness,TRUE,0.062
bristol,l,random,FALSE,0.303
bristol,l,degrees,FALSE,0.133
bristol,l,degrees,TRUE,0.120
bristol,l,betweenness,FALSE,0.166
bristol,l,betweenness,TRUE,0.109
bristol,p,random,FALSE,0.494
bristol,p,degrees,FALSE,0.438
bristol,p,degrees,TRUE,0.435
bristol,p,betweenness,FALSE,0.419
bristol,p,betweenness,TRUE,0.311
bristol,c,random,FALSE,0.694
bristol,c,degrees,FALSE,0.617
bristol,c,degrees,TRUE,0.577
bristol,c,betweenness,FALSE,0.565
bristol,c,betweenness,TRUE,0.491
lviv,c,random,FALSE,0.384
lviv,c,degrees,FALSE,0.362
lviv,c,degrees,TRUE,0.357
lviv,c,betweenness,FALSE,0.358
lviv,c,betweenness,TRUE,0.328
lviv,p,random,FALSE,0.530
lviv,p,degrees,FALSE,0.441
lviv,p,degrees,TRUE,0.425
lviv,p,betweenness,FALSE,0.404
lviv,p,betweenness,TRUE,0.330
